ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.161.240.54,d70-s9-pm2,d70-s9-pm2.virt.daumkakao.io,datacenter70,d70-s09-cluster,datastore70-s9-pm2,10.61.238.54,10.61.239.54,10.61.238.159,10.61.239.159,10.61.238.189,10.61.239.189,10.161.243.54,/vmfs/volumes/d70-s9-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.55,d70-s9-pm3,d70-s9-pm3.virt.daumkakao.io,datacenter70,d70-s09-cluster,datastore70-s9-pm3,10.61.238.55,10.61.239.55,10.61.238.159,10.61.239.159,10.61.238.189,10.61.239.189,10.161.243.55,/vmfs/volumes/d70-s9-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.56,d70-s9-pm4,d70-s9-pm4.virt.daumkakao.io,datacenter70,d70-s09-cluster,datastore70-s9-pm4,10.61.238.56,10.61.239.56,10.61.238.159,10.61.239.159,10.61.238.189,10.61.239.189,10.161.243.56,/vmfs/volumes/d70-s9-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.57,d70-s10-pm1,d70-s10-pm1.virt.daumkakao.io,datacenter70,d70-s10-cluster,datastore70-s10-pm1,10.61.238.57,10.61.239.57,10.61.238.160,10.61.239.160,10.61.238.190,10.61.239.190,10.161.243.57,/vmfs/volumes/d70-s10-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.58,d70-s10-pm2,d70-s10-pm2.virt.daumkakao.io,datacenter70,d70-s10-cluster,datastore70-s10-pm2,10.61.238.58,10.61.239.58,10.61.238.160,10.61.239.160,10.61.238.190,10.61.239.190,10.161.243.58,/vmfs/volumes/d70-s10-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.59,d70-s10-pm3,d70-s10-pm3.virt.daumkakao.io,datacenter70,d70-s10-cluster,datastore70-s10-pm3,10.61.238.59,10.61.239.59,10.61.238.160,10.61.239.160,10.61.238.190,10.61.239.190,10.161.243.59,/vmfs/volumes/d70-s10-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.60,d70-s10-pm4,d70-s10-pm4.virt.daumkakao.io,datacenter70,d70-s10-cluster,datastore70-s10-pm4,10.61.238.60,10.61.239.60,10.61.238.160,10.61.239.160,10.61.238.190,10.61.239.190,10.161.243.60,/vmfs/volumes/d70-s10-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.61,d70-s11-pm1,d70-s11-pm1.virt.daumkakao.io,datacenter70,d70-s11-cluster,datastore70-s11-pm1,10.61.238.61,10.61.239.61,10.61.238.161,10.61.239.161,10.61.238.191,10.61.239.191,10.161.243.61,/vmfs/volumes/d70-s11-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.62,d70-s11-pm2,d70-s11-pm2.virt.daumkakao.io,datacenter70,d70-s11-cluster,datastore70-s11-pm2,10.61.238.62,10.61.239.62,10.61.238.161,10.61.239.161,10.61.238.191,10.61.239.191,10.161.243.62,/vmfs/volumes/d70-s11-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.63,d70-s11-pm3,d70-s11-pm3.virt.daumkakao.io,datacenter70,d70-s11-cluster,datastore70-s11-pm3,10.61.238.63,10.61.239.63,10.61.238.161,10.61.239.161,10.61.238.191,10.61.239.191,10.161.243.63,/vmfs/volumes/d70-s11-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
